fecha,demanda_total_kwh,demanda_regulada_kwh,demanda_no_regulada_kwh,perdidas_total_kwh,perdidas_regulada_kwh,perdidas_no_regulada_kwh,consumo_facturado_calendarizado_total_kwh,consumo_facturado_mensual_kwh,consumo_facturado_trimestral_kwh,consumo_facturado_irregular_kwh,registros_facturacion_activos,dia_semana,es_fin_de_semana,mes,dia_del_ano,cobertura_calendarizacion_completa
2025-04-24,2709611.250000,2455641.220000,253970.030000,41430.290000,37351.750000,4078.540000,2304277.831840,1950550.816971,352545.286957,1181.727911,575170,3,0,4,114,1
2025-04-25,2700199.580000,2440176.420000,260023.160000,40107.700000,36045.180000,4062.520000,2269788.043335,1914605.002718,353974.107889,1208.932728,568248,4,0,4,115,1
2025-04-26,2583599.620000,2338553.280000,245046.340000,39985.500000,36144.590000,3840.910000,2270277.886223,1914605.002718,354399.553266,1273.330238,568711,5,1,4,116,1
2025-04-27,2414025.660000,2180370.940000,233654.720000,26807.030000,23819.450000,2987.580000,2271179.826667,1914605.002718,355165.760288,1409.063661,569136,6,1,4,117,1
2025-04-28,2672115.240000,2416004.240000,256111.000000,35822.390000,32062.650000,3759.740000,2271233.758741,1914605.002718,355206.097794,1422.658229,569208,0,0,4,118,1
2025-04-29,2713453.050000,2452622.870000,260830.180000,33785.930000,30340.870000,3445.060000,2271533.373666,1914605.002718,355370.793428,1557.577521,569428,1,0,4,119,1
2025-04-30,2726292.550000,2464202.460000,262090.090000,33803.710000,30199.640000,3604.070000,2271667.292950,1914605.002718,355431.372183,1630.918048,569488,2,0,4,120,1
2025-05-01,2567255.560000,2349504.220000,217751.340000,30384.690000,27554.800000,2829.890000,2036675.249114,1679431.726856,355533.855050,1709.667208,569254,3,0,5,121,1
2025-05-02,2726568.730000,2485288.370000,241280.360000,44263.650000,40136.960000,4126.690000,2286551.665345,1929278.037201,355561.149428,1712.478716,569570,4,0,5,122,1
2025-05-03,2559007.470000,2321122.500000,237884.970000,37114.290000,33441.190000,3673.100000,2287416.225202,1929280.592757,356272.013853,1863.618592,569673,5,1,5,123,1
2025-05-04,2426200.320000,2206716.180000,219484.140000,26261.770000,23469.130000,2792.640000,2287492.811465,1929280.592757,356329.117554,1883.101155,569710,6,1,5,124,1
2025-05-05,2654190.610000,2411334.190000,242856.420000,33564.620000,30221.620000,3343.000000,2287557.850866,1929280.592757,356350.867486,1926.390623,569759,0,0,5,125,1
2025-05-06,2701923.010000,2450541.320000,251381.690000,32745.490000,29521.030000,3224.460000,2288023.868792,1929282.570534,356488.774700,2252.523558,569869,1,0,5,126,1
2025-05-07,2712764.040000,2450523.390000,262240.650000,32584.020000,29145.510000,3438.510000,2288389.370700,1929298.397807,356530.306938,2560.665956,569947,2,0,5,127,1
2025-05-08,2750016.740000,2482619.590000,267397.150000,37428.280000,33777.890000,3650.390000,2288579.682651,1929298.397807,356539.828467,2741.456377,570007,3,0,5,128,1
2025-05-09,2751139.710000,2480752.120000,270387.590000,31256.970000,27893.870000,3363.100000,2289157.148272,1929298.812441,356649.158697,3209.177135,570181,4,0,5,129,1
2025-05-10,2626819.670000,2379692.940000,247126.730000,33407.510000,29995.820000,3411.690000,2289348.874251,1929298.812441,356665.447080,3384.614730,570294,5,1,5,130,1
2025-05-11,2393366.020000,2168106.410000,225259.610000,26923.070000,24102.990000,2820.080000,2289406.089729,1929298.812441,356666.337324,3440.939964,570310,6,1,5,131,1
2025-05-12,2679907.810000,2434112.950000,245794.860000,35925.270000,32475.440000,3449.830000,2289453.192717,1929298.812441,356666.337324,3488.042952,570319,0,0,5,132,1
2025-05-13,2703266.160000,2456407.030000,246859.130000,40679.950000,36703.830000,3976.120000,2289752.117181,1929313.337216,356688.467729,3750.312236,570356,1,0,5,133,1
2025-05-14,2738467.320000,2489612.180000,248855.140000,45914.090000,41524.140000,4389.950000,2301525.222686,1940903.578791,356688.467729,3933.176165,570577,2,0,5,134,1
2025-05-15,2715180.410000,2463410.670000,251769.740000,42766.320000,38675.710000,4090.610000,2301965.716698,1941313.872504,356688.467729,3963.376465,570624,3,0,5,135,1
2025-05-16,2708206.740000,2455656.690000,252550.050000,46301.000000,41811.490000,4489.510000,2288582.064458,1927838.331747,356688.796301,4054.936411,570530,4,0,5,136,1
2025-05-17,2583266.970000,2337852.410000,245414.560000,46527.070000,41767.210000,4759.860000,2297352.438295,1936600.839072,356690.564082,4061.035141,570486,5,1,5,137,1
2025-05-18,2408792.910000,2179907.380000,228885.530000,44873.280000,40382.980000,4490.300000,2298018.522201,1937000.170606,356690.937415,4327.414181,570953,6,1,5,138,1
2025-05-19,2667803.790000,2414082.920000,253720.870000,40251.920000,36140.430000,4111.490000,2298942.959432,1937614.135467,356690.937415,4637.886550,570972,0,0,5,139,1
